AREA_CD,AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MAX,PPLTN_TIME,ROAD_TRAFFIC_IDX,ROAD_MSG,SUB_STN_NM,TEMP,PRECPT_TYPE,PCP_MSG,PM25,PM10,AREA_CONGEST_INT,ROAD_TRAFFIC_INT,SUB_STN_INT,RTE_COUNT,SEARCH_FOR_NM,LAT,LNG
POI011,서울 암사동 유적,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,2023-11-08 18:30,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,14,비,비 또는 눈 소식이 없어요.,1,16,1,1,,1.0,서울 암사동 유적,37.5601719,127.1298794
POI012,창덕궁·종묘,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,"종로5가, 종로3가",13,비,비 또는 눈 소식이 없어요.,8,17,2,3,2.0,30.0,창덕궁·종묘,37.5799002,126.991174
POI013,가산디지털단지역,약간 붐빔,,36000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,가산디지털단지,14,비,비 또는 눈 소식이 없어요.,10,19,3,2,1.0,32.0,가산디지털단지역,37.48089,126.8825735
POI014,강남역,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,76000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"강남, 신논현",14,비,비 또는 눈 소식이 없어요.,0,0,3,2,2.0,155.0,강남역,37.497952,127.027619
POI015,건대입구역,약간 붐빔,,26000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,건대입구,14,비,비 또는 눈 소식이 없어요.,6,18,3,2,1.0,18.0,건대입구역,37.540372,127.069276
POI016,고덕역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,5500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,고덕,13,비,비 또는 눈 소식이 없어요.,1,16,2,2,1.0,12.0,고덕역,37.555051,127.15411
POI017,고속터미널역,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,고속터미널,13,비,비 또는 눈 소식이 없어요.,0,0,3,2,1.0,34.0,고속터미널역앞,37.5059593,127.0043853
POI018,교대역,약간 붐빔,,20000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,교대,14,비,비 또는 눈 소식이 없어요.,0,0,3,3,1.0,45.0,교대역,37.4934705,127.0142285
POI019,구로디지털단지역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,24000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,구로디지털단지,14,비,비 또는 눈 소식이 없어요.,10,19,1,2,1.0,35.0,구로디지털단지역,37.485215,126.901594
POI020,구로역,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,7000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,구로,14,비,비 또는 눈 소식이 없어요.,10,19,3,2,1.0,11.0,구로역,37.5031784,126.8820367
POI021,군자역,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,14000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,군자(능동),14,비,비 또는 눈 소식이 없어요.,6,18,3,2,1.0,25.0,군자역,37.5573355,127.079589
POI022,남구로역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,남구로,14,비,비 또는 눈 소식이 없어요.,10,19,1,3,1.0,13.0,남구로역,37.486087,126.887272
POI023,대림역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,대림,14,비,비 또는 눈 소식이 없어요.,15,20,2,2,1.0,17.0,대림역,37.4925043,126.8949615
POI024,동대문역,약간 붐빔,,6500,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,동대문,13,비,비 또는 눈 소식이 없어요.,8,17,3,3,1.0,33.0,동대문역,37.571731,127.011069
POI025,뚝섬역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,뚝섬,14,비,비 또는 눈 소식이 없어요.,11,25,2,2,1.0,10.0,뚝섬역,37.547206,127.047405
POI026,미아사거리역,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,12000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,미아사거리,13,비,비 또는 눈 소식이 없어요.,5,12,3,2,1.0,41.0,미아사거리역,37.613251,127.030084
POI027,발산역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,발산,12,비,비 또는 눈 소식이 없어요.,8,22,2,2,1.0,25.0,발산역,37.55868299999999,126.837595
POI028,북한산우이역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,북한산우이,10,비,비 또는 눈 소식이 없어요.,5,12,1,2,1.0,13.0,북한산우이역,37.662909,127.012798
POI029,사당역,약간 붐빔,,24000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,사당,13,비,비 또는 눈 소식이 없어요.,0,0,3,3,1.0,59.0,사당역,37.476559,126.981633
POI030,삼각지역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,2500,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,삼각지,13,비,비 또는 눈 소식이 없어요.,12,21,2,3,1.0,23.0,삼각지역,37.5350315,126.9734515
POI031,서울대입구역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서울대입구,14,비,비 또는 눈 소식이 없어요.,0,0,2,2,1.0,35.0,서울대입구역,37.48121,126.952712
POI032,서울식물원·마곡나루역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,마곡나루,12,비,비 또는 눈 소식이 없어요.,8,22,2,2,1.0,9.0,서울식물원·마곡나루역,37.5669356,126.8265611
POI033,서울역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"서울, 회현",13,비,비 또는 눈 소식이 없어요.,6,11,1,2,2.0,134.0,서울역,37.555946,126.972317
POI034,선릉역,약간 붐빔,,48000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,"선릉, 선정릉",14,비,비 또는 눈 소식이 없어요.,9,20,3,3,2.0,55.0,선릉역,37.504487,127.048957
POI035,성신여대입구역,약간 붐빔,,8000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,성신여대입구,13,비,비 또는 눈 소식이 없어요.,5,14,3,3,1.0,31.0,성신여대입구역,37.59272,127.016544
POI036,수유역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,수유,13,비,비 또는 눈 소식이 없어요.,5,12,2,2,1.0,46.0,수유역,37.6371095,127.0247325
POI037,신논현역·논현역,약간 붐빔,,18000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"논현, 신논현",14,비,비 또는 눈 소식이 없어요.,9,20,3,2,2.0,50.0,신논현역·논현역,37.504724,127.02538
POI038,신도림역,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,10000,2023-11-08 18:30,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,신도림,14,비,비 또는 눈 소식이 없어요.,15,20,3,1,1.0,39.0,신도림역,37.5088099,126.8912061
POI039,신림역,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,16000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,신림,14,비,비 또는 눈 소식이 없어요.,0,0,3,3,1.0,32.0,신림역,37.4631968,126.9358124
POI040,신촌·이대역,약간 붐빔,,32000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"신촌(경의.중앙선), 서강대, 신촌, 이대",13,비,비 또는 눈 소식이 없어요.,10,15,3,2,4.0,86.0,신촌·이대역,37.556761,126.945857
POI041,양재역,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,16000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,양재,14,비,비 또는 눈 소식이 없어요.,0,0,3,2,1.0,141.0,양재역,37.484102,127.034369
POI042,역삼역,약간 붐빔,,30000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,역삼,14,비,비 또는 눈 소식이 없어요.,9,20,3,2,1.0,55.0,역삼역,37.5003324,127.0362649
POI043,연신내역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,연신내,12,비,비 또는 눈 소식이 없어요.,6,23,2,2,1.0,41.0,연신내역,37.618812,126.920842
POI044,오목교역·목동운동장,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,28000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,오목교(목동운동장앞),13,비,비 또는 눈 소식이 없어요.,10,23,2,2,1.0,30.0,오목교역·목동운동장,37.524553,126.87505
POI045,왕십리역,약간 붐빔,,14000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"왕십리, 마장, 한양대",14,비,비 또는 눈 소식이 없어요.,11,25,3,2,3.0,23.0,왕십리역,37.561949,127.038485
POI046,용산역,약간 붐빔,,20000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"신용산, 용산",13,비,비 또는 눈 소식이 없어요.,12,21,3,2,2.0,31.0,용산역,37.5298837,126.9648019
POI047,이태원역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,이태원,13,비,비 또는 눈 소식이 없어요.,12,21,1,3,1.0,9.0,이태원역,37.534542,126.994596
POI048,장지역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,장지,14,비,비 또는 눈 소식이 없어요.,13,23,1,2,1.0,53.0,장지역,37.477699,127.126274
POI049,장한평역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,2023-11-08 18:30,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,장한평,14,비,비 또는 눈 소식이 없어요.,8,19,1,1,1.0,16.0,장한평역,37.56147199999999,127.064657
POI050,천호역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,천호(풍납토성),14,비,비 또는 눈 소식이 없어요.,1,16,2,2,1.0,28.0,천호역,37.5443765,127.1276202
POI051,총신대입구(이수)역,약간 붐빔,,20000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,총신대입구(이수),13,비,비 또는 눈 소식이 없어요.,11,21,3,2,1.0,28.0,총신대입구(이수)역,37.486491,126.981876
POI052,충정로역,약간 붐빔,,18000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,충정로,13,비,비 또는 눈 소식이 없어요.,10,15,3,2,1.0,46.0,충정로역,37.560055,126.963672
POI053,합정역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,9000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,합정,13,비,비 또는 눈 소식이 없어요.,9,24,2,2,1.0,45.0,합정역,37.5495753,126.9139908
POI054,혜화역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,혜화,13,비,비 또는 눈 소식이 없어요.,8,17,2,2,1.0,31.0,혜화역,37.5878109,127.0017424
POI055,홍대입구역(2호선),약간 붐빔,,20000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,홍대입구,13,비,비 또는 눈 소식이 없어요.,9,24,3,3,1.0,57.0,홍익대학교,37.5507563,126.9254901
POI056,회기역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,회기,14,비,비 또는 눈 소식이 없어요.,8,19,2,2,1.0,41.0,회기역,37.58975600000001,127.057977
POI057,4·19 카페거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,700,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,10,비,비 또는 눈 소식이 없어요.,5,12,1,2,,6.0,서울 강북구 4.19로 97,37.6441614,127.0045033
POI058,가락시장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,가락시장,14,비,비 또는 눈 소식이 없어요.,13,23,1,2,1.0,69.0,가락시장,37.4933411,127.1097998
POI059,가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"압구정, 신사",14,비,비 또는 눈 소식이 없어요.,9,20,2,2,2.0,23.0,가로수길,,
POI060,광장(전통)시장,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,3000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,종로5가,13,비,비 또는 눈 소식이 없어요.,8,17,2,3,1.0,29.0,광장시장,37.5700398,126.9996036
POI061,김포공항,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,14000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,김포공항,12,비,비 또는 눈 소식이 없어요.,8,22,3,2,1.0,48.0,김포공항,37.56224,126.801396
POI062,낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,13,비,비 또는 눈 소식이 없어요.,5,14,1,2,,1.0,낙산공원·이화마을,37.5779788,127.0071915
POI063,노량진,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,20000,2023-11-08 18:30,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,"노량진, 노들",14,비,비 또는 눈 소식이 없어요.,11,21,2,1,2.0,33.0,노량진,37.51408199999999,126.941687
POI064,덕수궁길·정동길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,4500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"시청, 서대문",13,비,비 또는 눈 소식이 없어요.,8,17,2,2,2.0,39.0,덕수궁길·정동길,37.5658049,126.9751461
POI065,방배역 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,방배,13,비,비 또는 눈 소식이 없어요.,0,0,1,2,1.0,13.0,방배역 먹자골목,37.4794939,126.9931207
POI066,북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,안국,13,비,비 또는 눈 소식이 없어요.,8,17,1,2,1.0,21.0,북촌한옥마을,37.5814696,126.9849519
POI067,서촌,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,경복궁,13,비,비 또는 눈 소식이 없어요.,8,17,1,2,1.0,20.0,서촌한옥마을,37.5786683,126.973107
POI068,성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,26000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"뚝섬, 성수",14,비,비 또는 눈 소식이 없어요.,11,25,2,2,2.0,15.0,성수카페거리,37.544577,127.055991
POI069,수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,수유,13,비,비 또는 눈 소식이 없어요.,4,10,1,2,1.0,42.0,수유리 먹자골목,37.6401151,127.026718
POI070,쌍문동 맛집거리,약간 붐빔,,4500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,쌍문,13,비,비 또는 눈 소식이 없어요.,4,10,3,2,1.0,22.0,쌍문동 맛집거리,37.6533557,127.0271003
POI071,압구정로데오거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,압구정로데오,14,비,비 또는 눈 소식이 없어요.,9,20,2,2,1.0,22.0,압구정로데오거리,37.5267755,127.0389294
POI072,여의도,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,105000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"국회의사당, 대방, 신길, 샛강, 여의도, 여의나루",13,비,비 또는 눈 소식이 없어요.,15,20,2,2,6.0,54.0,여의도,37.52958080000001,126.9326803
POI073,연남동,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,13,비,비 또는 눈 소식이 없어요.,9,24,1,2,,28.0,연남동,37.5627439,126.9214088
POI074,영등포 타임스퀘어,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"영등포, 신길",13,비,비 또는 눈 소식이 없어요.,15,20,2,2,2.0,60.0,영등포 타임스퀘어,37.5169933,126.9035425
POI075,외대앞,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,3500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,외대앞,14,비,비 또는 눈 소식이 없어요.,8,19,2,2,1.0,7.0,외대앞,37.595518,127.059615
POI076,용리단길,약간 붐빔,,14000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"신용산, 삼각지",13,비,비 또는 눈 소식이 없어요.,12,21,3,2,2.0,19.0,용리단길,37.5313985,126.9721602
POI077,이태원 앤틱가구거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,이태원,13,비,비 또는 눈 소식이 없어요.,12,21,1,2,1.0,14.0,이태원 앤틱가구거리,37.5316779,126.9948943
POI078,인사동·익선동,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,2023-11-08 18:35,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,"안국, 종로3가, 종각",13,비,비 또는 눈 소식이 없어요.,8,17,2,3,3.0,57.0,인사동·익선동,37.5717174,126.9860732
POI079,창동 신경제 중심지,약간 붐빔,,34000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"창동, 노원",12,비,비 또는 눈 소식이 없어요.,4,10,3,2,2.0,39.0,창동역,37.65276,127.047945
POI080,청담동 명품거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,압구정로데오,14,비,비 또는 눈 소식이 없어요.,9,20,2,2,1.0,17.0,청담동 명품거리,37.5233931,127.0479736
