AREA_CD,AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MAX,PPLTN_TIME,ROAD_TRAFFIC_IDX,ROAD_MSG,SUB_STN_NM,TEMP,PRECPT_TYPE,PCP_MSG,PM25,PM10,AREA_CONGEST_INT,ROAD_TRAFFIC_INT,SUB_STN_INT,SEARCH_FOR_NM,LAT,LNG
POI019,구로디지털단지역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,구로디지털단지,26,없음,비 또는 눈 소식이 없어요.,6,14,1,2,1.0,구로디지털단지역,37.485215,126.901594
POI020,구로역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,구로,26,없음,비 또는 눈 소식이 없어요.,6,14,1,1,1.0,구로역,37.5031784,126.8820367
POI021,군자역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,군자(능동),25,없음,비 또는 눈 소식이 없어요.,9,24,2,2,1.0,군자역,37.5573355,127.079589
POI022,남구로역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,남구로,26,없음,비 또는 눈 소식이 없어요.,6,14,1,2,1.0,남구로역,37.486087,126.887272
POI023,대림역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,대림,26,없음,비 또는 눈 소식이 없어요.,10,15,1,2,1.0,대림역,37.4925043,126.8949615
POI024,동대문역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,동대문,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,동대문역,37.571731,127.011069
POI025,뚝섬역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,뚝섬,25,없음,비 또는 눈 소식이 없어요.,8,13,1,2,1.0,뚝섬역,37.547206,127.047405
POI026,미아사거리역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,미아사거리,26,없음,비 또는 눈 소식이 없어요.,8,16,1,2,1.0,미아사거리역,37.613251,127.030084
POI027,발산역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,발산,25,없음,비 또는 눈 소식이 없어요.,14,22,1,2,1.0,발산역,37.55868299999999,126.837595
POI028,북한산우이역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,200,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,북한산우이,22,없음,비 또는 눈 소식이 없어요.,8,16,1,2,1.0,북한산우이역,37.662909,127.012798
POI029,사당역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,20000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,사당,25,없음,비 또는 눈 소식이 없어요.,0,31,1,2,1.0,사당역,37.476559,126.981633
POI030,삼각지역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,삼각지,25,없음,비 또는 눈 소식이 없어요.,9,15,1,2,1.0,삼각지역,37.5350315,126.9734515
POI031,서울대입구역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서울대입구,25,없음,비 또는 눈 소식이 없어요.,0,31,2,2,1.0,서울대입구역,37.48121,126.952712
POI032,서울식물원·마곡나루역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,마곡나루,25,없음,비 또는 눈 소식이 없어요.,14,22,1,2,1.0,서울식물원·마곡나루역,37.5669356,126.8265611
POI033,서울역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"회현, 서울",25,없음,비 또는 눈 소식이 없어요.,9,12,1,2,2.0,서울역,37.555946,126.972317
POI034,선릉역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,30000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"선정릉, 선릉",25,없음,비 또는 눈 소식이 없어요.,11,16,1,2,2.0,선릉역,37.504487,127.048957
POI035,성신여대입구역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,성신여대입구,25,없음,비 또는 눈 소식이 없어요.,0,0,1,2,1.0,성신여대입구역,37.59272,127.016544
POI036,수유역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,수유,26,없음,비 또는 눈 소식이 없어요.,8,16,1,2,1.0,수유역,37.6371095,127.0247325
POI037,신논현역·논현역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"신논현, 논현",25,없음,비 또는 눈 소식이 없어요.,11,16,1,2,2.0,신논현역·논현역,37.504724,127.02538
POI038,신도림역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,신도림,25,없음,비 또는 눈 소식이 없어요.,10,15,1,1,1.0,신도림역,37.5088099,126.8912061
POI039,신림역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,신림,25,없음,비 또는 눈 소식이 없어요.,0,31,2,2,1.0,신림역,37.4631968,126.9358124
POI040,신촌·이대역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,26000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"이대, 신촌, 서강대, 신촌(경의.중앙선)",25,없음,비 또는 눈 소식이 없어요.,14,0,1,2,4.0,신촌·이대역,37.556761,126.945857
POI041,양재역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,양재,25,없음,비 또는 눈 소식이 없어요.,3,8,1,2,1.0,양재역,37.484102,127.034369
POI042,역삼역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,역삼,25,없음,비 또는 눈 소식이 없어요.,11,16,1,2,1.0,역삼역,37.5003324,127.0362649
POI043,연신내역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,연신내,25,없음,비 또는 눈 소식이 없어요.,11,9,2,2,1.0,연신내역,37.618812,126.920842
POI044,오목교역·목동운동장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,26000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,오목교(목동운동장앞),25,없음,비 또는 눈 소식이 없어요.,9,15,1,1,1.0,오목교역·목동운동장,37.524553,126.87505
POI045,왕십리역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"왕십리, 한양대, 마장",25,없음,비 또는 눈 소식이 없어요.,8,13,2,2,3.0,왕십리역,37.561949,127.038485
POI046,용산역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8500,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,"신용산, 용산",25,없음,비 또는 눈 소식이 없어요.,9,15,1,1,2.0,용산역,37.5298837,126.9648019
POI047,이태원역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,이태원,25,없음,비 또는 눈 소식이 없어요.,9,15,1,2,1.0,이태원역,37.534542,126.994596
POI048,장지역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,장지,26,없음,비 또는 눈 소식이 없어요.,7,15,1,2,1.0,장지역,37.477699,127.126274
POI049,장한평역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,장한평,25,없음,비 또는 눈 소식이 없어요.,10,17,1,1,1.0,장한평역,37.56147199999999,127.064657
POI050,천호역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,천호(풍납토성),25,없음,비 또는 눈 소식이 없어요.,0,0,1,2,1.0,천호역,37.5443765,127.1276202
POI051,총신대입구(이수)역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,총신대입구(이수),25,없음,비 또는 눈 소식이 없어요.,9,14,1,2,1.0,총신대입구(이수)역,37.486491,126.981876
POI052,충정로역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,충정로,25,없음,비 또는 눈 소식이 없어요.,14,0,1,1,1.0,충정로역,37.560055,126.963672
POI053,합정역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,합정,25,없음,비 또는 눈 소식이 없어요.,9,15,1,1,1.0,합정역,37.5495753,126.9139908
POI054,혜화역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,혜화,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,혜화역,37.58217,127.001893
POI055,홍대입구역(2호선),여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,홍대입구,25,없음,비 또는 눈 소식이 없어요.,9,15,1,2,1.0,홍대입구역(2호선),37.557527,126.9244669
POI056,회기역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,회기,25,없음,비 또는 눈 소식이 없어요.,10,17,2,2,1.0,회기역,37.58975600000001,127.057977
POI057,4·19 카페거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,800,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,22,없음,비 또는 눈 소식이 없어요.,8,16,1,2,,4·19 카페거리,,
POI058,가락시장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,가락시장,26,없음,비 또는 눈 소식이 없어요.,7,15,1,1,1.0,가락시장,37.4933411,127.1097998
POI059,가로수길,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,20000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,"압구정, 신사",25,없음,비 또는 눈 소식이 없어요.,11,16,1,1,2.0,가로수길,,
POI060,광장(전통)시장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,종로5가,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,광장(전통)시장,,
POI061,김포공항,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,김포공항,25,없음,비 또는 눈 소식이 없어요.,14,22,1,1,1.0,김포공항,37.56224,126.801396
POI062,낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,25,없음,비 또는 눈 소식이 없어요.,0,0,1,1,,낙산공원·이화마을,37.5779788,127.0071915
POI063,노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,"노들, 노량진",25,없음,비 또는 눈 소식이 없어요.,9,14,1,1,2.0,노량진,37.51408199999999,126.941687
POI064,덕수궁길·정동길,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"시청, 서대문",25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,2.0,덕수궁길·정동길,37.5658049,126.9751461
POI065,방배역 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,900,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,방배,25,없음,비 또는 눈 소식이 없어요.,3,8,1,2,1.0,방배역 먹자골목,37.4794939,126.9931207
POI066,북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,안국,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,북촌한옥마을,37.5814696,126.9849519
POI067,서촌,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,경복궁,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,서촌,,
POI068,성수카페거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"성수, 뚝섬",25,없음,비 또는 눈 소식이 없어요.,8,13,1,2,2.0,성수카페거리,37.544577,127.055991
POI069,수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,수유,26,없음,비 또는 눈 소식이 없어요.,5,10,1,2,1.0,수유리 먹자골목,37.6401151,127.026718
POI070,쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,쌍문,26,없음,비 또는 눈 소식이 없어요.,5,10,1,2,1.0,쌍문동 맛집거리,37.6533557,127.0271003
POI071,압구정로데오거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,압구정로데오,25,없음,비 또는 눈 소식이 없어요.,11,16,1,2,1.0,압구정로데오거리,37.5267755,127.0389294
POI072,여의도,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,56000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,"여의도, 여의나루, 대방, 샛강, 국회의사당, 신길",25,없음,비 또는 눈 소식이 없어요.,10,15,1,1,6.0,여의도,37.52958080000001,126.9326803
POI073,연남동,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,25,없음,비 또는 눈 소식이 없어요.,9,15,1,2,,연남동,37.5627439,126.9214088
POI074,영등포 타임스퀘어,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,"신길, 영등포",25,없음,비 또는 눈 소식이 없어요.,10,15,1,1,2.0,영등포 타임스퀘어,37.5169933,126.9035425
POI075,외대앞,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,3000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,외대앞,25,없음,비 또는 눈 소식이 없어요.,10,17,2,2,1.0,외대앞,37.595518,127.059615
POI076,용리단길,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8500,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"삼각지, 신용산",25,없음,비 또는 눈 소식이 없어요.,9,15,1,2,2.0,용리단길,37.5313985,126.9721602
POI077,이태원 앤틱가구거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,2023-09-18 21:00,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,이태원,25,없음,비 또는 눈 소식이 없어요.,9,15,1,1,1.0,이태원 앤틱가구거리,37.5316779,126.9948943
POI078,인사동·익선동,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"종각, 종로3가, 안국",25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,3.0,인사동·익선동,37.5717174,126.9860732
